App Name,Category,Rating,Free,Price,Installs,Size,Content Rating,Ad Supported,In App Purchases
Stamp Pack: Message II,Personalization,4.2,True,0.0,"50,000+",2.1M,Everyone,True,False
Aggregate Calculator,Tools,4.8,True,0.0,100+,5.6M,Everyone,True,False
"Grave Reviews: Horror Movies, Haunted Attractions",Entertainment,0.0,True,0.0,100+,2.6M,Teen,True,False
BeneFit,Health & Fitness,1.6,True,0.0,"5,000+",30M,Everyone,True,False
#WeAreNestlé,Business,4.0,True,0.0,"1,000+",40M,Everyone,False,False
Thop TV : Free Thoptv Live IPL Cricket Guide 2021,Entertainment,0.0,True,0.0,500+,8.8M,Everyone,True,False
Flight Info Turkey,Maps & Navigation,3.4,True,0.0,"10,000+",3.5M,Everyone,True,False
Click&Ball,Sports,0.0,True,0.0,100+,5.9M,Mature 17+,False,False
Afiaanyi  Services Limited,Business,0.0,True,0.0,50+,14M,Everyone,False,False
"Eye Exercise to improve Eyesight, Eye workout",Personalization,0.0,True,0.0,50+,4.3M,Everyone,True,False
"DP for Whatsapp - My photo, Whatsapp photo",Photography,4.9,True,0.0,"5,000+",17M,Everyone,True,False
We&You - Groupe Scopelec,Business,0.0,True,0.0,100+,34M,Everyone,False,False
Interesting Facts-Did you know facts with videos,Education,4.6,True,0.0,"1,000+",Varies with device,Everyone,True,False
Aersia VIP Player,Music & Audio,4.8,True,0.0,"5,000+",12M,Everyone,False,False
Quran Live,Books & Reference,0.0,True,0.0,10+,2.8M,Everyone,False,False
Royal Conservatory Concerts,Music & Audio,2.4,True,0.0,500+,22M,Everyone,False,False
Translator 2019,Tools,4.4,True,0.0,"1,000+",3.1M,Everyone,True,False
CTC2020,Communication,4.4,True,0.0,"1,000+",11M,Teen,False,False
Telangana Adangal & Pahani Inf,Tools,3.3,True,0.0,"10,000+",3.3M,Everyone,True,False
EkBiz.ID - Media Investasi Ekonomi dan Bisnis,News & Magazines,0.0,True,0.0,10+,1.1M,Everyone,False,False
Bridge Builder AR,Simulation,0.0,True,0.0,500+,23M,Everyone,False,False
FlipPix Jigsaw - Up,Puzzle,0.0,False,1.99,500+,16M,Everyone,False,False
I Courses,Education,0.0,True,0.0,5+,9.4M,Everyone,False,False
Parking Pro 2020 : Real parking game simulator 2,Simulation,4.4,True,0.0,"1,000+",131M,Everyone,True,False
"IUS México. Busca Tesis, Leyes Federales y más",Tools,4.0,True,0.0,"10,000+",33M,Everyone,True,True
Sleigh Champion : Winter sports,Sports,4.2,True,0.0,"1,000,000+",93M,Everyone,True,True
Tack Tock Ball,Arcade,0.0,True,0.0,10+,25M,Everyone,True,False
Downloader for Likee,Social,4.7,True,0.0,500+,9.4M,Teen,True,False
Ukrainian Keyboard - Emoji,Tools,0.0,True,0.0,100+,12M,Everyone,True,False
Zikir Penenang Hati Dan Jiwa MP3 Offline,Music & Audio,4.7,True,0.0,"5,000+",37M,Everyone,True,False
Snake Dive,Casual,0.0,True,0.0,10+,5.3M,Everyone 10+,False,False
Realistic Campfire Mod: Camping,Adventure,3.7,True,0.0,"500,000+",38M,Everyone,True,False
নবদুর্গা - Navadurga Mantra,Books & Reference,5.0,True,0.0,"1,000+",4.2M,Everyone,True,False
Endless Temple Survival Run - Jungle Running Game,Adventure,0.0,True,0.0,100+,51M,Teen,True,False
Racing Strike 3D/VR : Virtual Stunt Free Car Games,Racing,3.5,True,0.0,"10,000+",31M,Everyone,True,False
Money Makers,Entertainment,2.8,True,0.0,50+,11M,Everyone,True,False
Marathi Bloggers 3,Books & Reference,0.0,True,0.0,50+,11M,Teen,True,False
Finnish Conversation,Education,0.0,True,0.0,100+,59M,Everyone,True,True
Ehasa status,Maps & Navigation,4.6,True,0.0,500+,3.0M,Everyone,False,False
Smile Academy Parsa Pvt. Ltd. : Birgunj,Education,0.0,True,0.0,10+,50M,Everyone,False,False
Alien Tap Attack,Arcade,4.8,True,0.0,"1,000+",24M,Everyone,True,True
Musica de los 80 Gratis,Music & Audio,4.0,True,0.0,"5,000+",7.8M,Teen,True,False
Hotel St Pol Superior,Business,0.0,True,0.0,10+,15M,Everyone,False,False
KARUPPU TV,News & Magazines,4.4,True,0.0,100+,2.5M,Everyone,True,False
Priscilla Alcântara All Songs & Lyrics,Entertainment,3.4,True,0.0,100+,3.9M,Mature 17+,True,False
Kırgızca-Türk Tercüman,Books & Reference,4.4,True,0.0,"10,000+",1.1M,Everyone,True,False
Find the Differences - Spot The 5 Difference Game,Puzzle,4.3,True,0.0,"10,000+",59M,Everyone,True,True
